date,currency,iv_atm,skew_25d,butterfly_25d,term_spread,iv_25d_put,iv_25d_call,spot,interpolated
2019-06-05,ETH,0.9115,-0.0132,0.0814,-0.0572,0.9863,0.9995,243.97,False
2019-06-06,ETH,0.8942,-0.0277,0.0733,-0.0441,0.9536,0.9814,246.26,True
2019-06-07,ETH,0.8769,-0.0422,0.0652,-0.0311,0.921,0.9632,248.55,True
2019-06-08,ETH,0.8596,-0.0567,0.0571,-0.018,0.8883,0.9451,250.84,True
2019-06-09,ETH,0.8423,-0.0713,0.049,-0.005,0.8557,0.9269,253.13,True
2019-06-10,ETH,0.825,-0.0858,0.0409,0.0081,0.823,0.9088,255.42,True
2019-06-11,ETH,0.8077,-0.1003,0.0328,0.0211,0.7904,0.8906,257.71,True
2019-06-12,ETH,0.7904,-0.1148,0.0247,0.0342,0.7577,0.8725,260.0,False
2019-06-13,ETH,0.8065,-0.1161,0.0301,0.0262,0.7786,0.8947,261.23,True
2019-06-14,ETH,0.8226,-0.1174,0.0356,0.0182,0.7995,0.9169,262.46,True
2019-06-15,ETH,0.8387,-0.1187,0.041,0.0102,0.8204,0.9391,263.69,True
2019-06-16,ETH,0.8548,-0.12,0.0465,0.0021,0.8412,0.9612,264.91,True
2019-06-17,ETH,0.8709,-0.1213,0.0519,-0.0059,0.8621,0.9834,266.14,True
2019-06-18,ETH,0.887,-0.1226,0.0574,-0.0139,0.883,1.0056,267.37,True
2019-06-19,ETH,0.9031,-0.1239,0.0628,-0.0219,0.9039,1.0278,268.6,False
2019-06-20,ETH,0.9216,-0.1299,0.0709,-0.0206,0.9275,1.0574,276.39,True
2019-06-21,ETH,0.9401,-0.1359,0.0789,-0.0192,0.951,1.0869,284.19,True
2019-06-22,ETH,0.9586,-0.1419,0.087,-0.0179,0.9746,1.1165,291.98,True
2019-06-23,ETH,0.9771,-0.148,0.095,-0.0166,0.9981,1.1461,299.77,True
2019-06-24,ETH,0.9956,-0.154,0.1031,-0.0153,1.0217,1.1757,307.56,True
2019-06-25,ETH,1.0141,-0.16,0.1111,-0.0139,1.0452,1.2052,315.36,True
2019-06-26,ETH,1.0326,-0.166,0.1192,-0.0126,1.0688,1.2348,323.15,False
2019-06-27,ETH,1.0271,-0.1528,0.1013,-0.009,1.052,1.2048,319.18,True
2019-06-28,ETH,1.0216,-0.1396,0.0834,-0.0054,1.0352,1.1748,315.21,True
2019-06-29,ETH,1.0161,-0.1264,0.0655,-0.0018,1.0184,1.1448,311.24,True
2019-06-30,ETH,1.0106,-0.1132,0.0476,0.0019,1.0016,1.1148,307.26,True
2019-07-01,ETH,1.0051,-0.1,0.0297,0.0055,0.9848,1.0848,303.29,True
2019-07-02,ETH,0.9996,-0.0868,0.0118,0.0091,0.968,1.0548,299.32,True
2019-07-03,ETH,0.9941,-0.0736,-0.0061,0.0127,0.9512,1.0248,295.35,False
2019-07-04,ETH,0.9909,-0.0619,-0.0065,0.0126,0.9534,1.0154,292.26,True
2019-07-05,ETH,0.9876,-0.0503,-0.0068,0.0124,0.9557,1.006,289.18,True
2019-07-06,ETH,0.9844,-0.0386,-0.0072,0.0123,0.9579,0.9966,286.09,True
2019-07-07,ETH,0.9812,-0.027,-0.0075,0.0122,0.9602,0.9871,283.01,True
2019-07-08,ETH,0.978,-0.0153,-0.0079,0.0121,0.9624,0.9777,279.92,True
2019-07-09,ETH,0.9747,-0.0037,-0.0082,0.0119,0.9647,0.9683,276.84,True
2019-07-10,ETH,0.9715,0.008,-0.0086,0.0118,0.9669,0.9589,273.75,False
2019-07-11,ETH,1.0083,0.0007,-0.0122,0.0251,0.9965,0.9957,265.54,True
2019-07-12,ETH,1.0451,-0.0065,-0.0159,0.0385,1.026,1.0325,257.34,True
2019-07-13,ETH,1.0819,-0.0138,-0.0195,0.0518,1.0556,1.0693,249.13,True
2019-07-14,ETH,1.1188,-0.021,-0.0231,0.0651,1.0851,1.1062,240.92,True
